,receivedAt,dewpoint_mean,temperature_mean,humidity_mean,vaporPressureDeficit_mean
1030,2025-05-16 08:00:00+00:00,8.566666666666668,27.866666666666664,29.666666666666668,2.6366666666666667
1031,2025-05-16 09:00:00+00:00,9.233333333333333,26.433333333333334,33.833333333333336,2.283333333333333
1032,2025-05-16 10:00:00+00:00,9.700000000000001,27.566666666666666,32.666666666666664,2.4833333333333334
1033,2025-05-16 11:00:00+00:00,4.866666666666667,22.066666666666666,32.76666666666667,1.8066666666666666
1034,2025-05-16 12:00:00+00:00,7.766666666666667,22.599999999999998,38.9,1.71
1035,2025-05-16 13:00:00+00:00,11.466666666666667,26.0,40.699999999999996,2.0733333333333337
1036,2025-05-16 14:00:00+00:00,11.200000000000001,24.166666666666668,44.333333333333336,1.7366666666666666
1037,2025-05-16 15:00:00+00:00,8.333333333333334,20.099999999999998,46.800000000000004,1.26
1038,2025-05-16 16:00:00+00:00,8.433333333333332,17.733333333333334,54.6,0.9266666666666667
1039,2025-05-16 17:00:00+00:00,8.633333333333333,15.233333333333334,65.03333333333333,0.6066666666666666
1040,2025-05-16 18:00:00+00:00,8.033333333333333,13.133333333333333,71.39999999999999,0.43333333333333335
1041,2025-05-16 19:00:00+00:00,7.866666666666667,10.9,81.7,0.24
1042,2025-05-16 20:00:00+00:00,7.666666666666667,10.366666666666667,83.33333333333333,0.21333333333333335
1043,2025-05-16 21:00:00+00:00,8.333333333333334,9.633333333333333,91.73333333333333,0.09999999999999999
1044,2025-05-16 22:00:00+00:00,7.366666666666667,8.766666666666666,91.06666666666666,0.09999999999999999
1045,2025-05-16 23:00:00+00:00,6.2,7.533333333333334,91.43333333333334,0.09000000000000001
1046,2025-05-17 00:00:00+00:00,5.666666666666667,6.6000000000000005,93.89999999999999,0.06
1047,2025-05-17 01:00:00+00:00,4.5,4.966666666666667,96.86666666666667,0.02666666666666667
1048,2025-05-17 02:00:00+00:00,4.133333333333334,4.433333333333334,97.86666666666667,0.016666666666666666
1049,2025-05-17 03:00:00+00:00,3.8333333333333335,4.133333333333334,97.90000000000002,0.02
1050,2025-05-17 04:00:00+00:00,5.133333333333333,5.833333333333333,95.43333333333334,0.043333333333333335
1051,2025-05-17 05:00:00+00:00,7.833333333333333,12.133333333333333,75.93333333333332,0.37000000000000005
1052,2025-05-17 06:00:00+00:00,10.766666666666666,21.46666666666667,50.699999999999996,1.2733333333333334
1053,2025-05-17 07:00:00+00:00,11.200000000000001,26.099999999999998,39.53333333333333,2.0500000000000003
1054,2025-05-17 08:00:00+00:00,12.433333333333332,28.099999999999998,37.96666666666667,2.356666666666667
1055,2025-05-17 09:00:00+00:00,11.866666666666667,28.46666666666667,35.86666666666667,2.4899999999999998
1056,2025-05-17 10:00:00+00:00,10.4,27.566666666666666,34.36666666666667,2.4299999999999997
1057,2025-05-17 11:00:00+00:00,12.033333333333333,30.2,32.699999999999996,2.89
1058,2025-05-17 12:00:00+00:00,10.933333333333332,30.5,29.8,3.1166666666666667
1059,2025-05-17 13:00:00+00:00,11.266666666666666,29.666666666666668,32.4,2.9166666666666665
1060,2025-05-17 14:00:00+00:00,10.733333333333334,27.599999999999998,35.36666666666667,2.52
1061,2025-05-17 15:00:00+00:00,9.933333333333334,22.766666666666666,44.333333333333336,1.5466666666666666
1062,2025-05-17 16:00:00+00:00,9.5,24.03333333333333,39.800000000000004,1.8
1063,2025-05-17 17:00:00+00:00,9.333333333333334,19.133333333333333,53.46666666666666,1.0466666666666666
1064,2025-05-17 18:00:00+00:00,6.933333333333334,13.700000000000001,64.0,0.5633333333333334
1065,2025-05-17 19:00:00+00:00,7.433333333333334,11.6,76.0,0.32666666666666666
1066,2025-05-17 20:00:00+00:00,7.0,11.633333333333333,73.60000000000001,0.3633333333333333
1067,2025-05-17 21:00:00+00:00,6.633333333333333,10.200000000000001,78.63333333333334,0.26333333333333336
1068,2025-05-17 22:00:00+00:00,6.766666666666667,10.233333333333333,79.26666666666667,0.26
1069,2025-05-17 23:00:00+00:00,6.833333333333333,9.700000000000001,82.5,0.21
1070,2025-05-18 00:00:00+00:00,6.3999999999999995,8.133333333333333,89.10000000000001,0.12
1071,2025-05-18 01:00:00+00:00,5.933333333333334,6.766666666666667,94.5,0.05333333333333334
1072,2025-05-18 02:00:00+00:00,5.433333333333334,5.8999999999999995,96.83333333333333,0.03
1073,2025-05-18 03:00:00+00:00,4.8999999999999995,5.3,97.36666666666667,0.023333333333333334
1074,2025-05-18 04:00:00+00:00,6.266666666666667,7.033333333333334,95.03333333333335,0.049999999999999996
1075,2025-05-18 05:00:00+00:00,9.366666666666667,13.033333333333333,79.26666666666667,0.34
1076,2025-05-18 06:00:00+00:00,12.233333333333334,21.866666666666664,54.56666666666666,1.2
1077,2025-05-18 07:00:00+00:00,14.233333333333334,26.133333333333336,47.9,1.7666666666666666
1078,2025-05-18 08:00:00+00:00,15.666666666666666,29.46666666666667,43.300000000000004,2.3366666666666664
1079,2025-05-18 09:00:00+00:00,16.0,29.599999999999998,43.800000000000004,2.33
1080,2025-05-18 10:00:00+00:00,15.5,29.96666666666667,41.53333333333333,2.4766666666666666
1081,2025-05-18 11:00:00+00:00,14.566666666666668,30.666666666666668,37.53333333333333,2.7600000000000002
1082,2025-05-18 12:00:00+00:00,15.633333333333335,34.03333333333333,33.13333333333333,3.5666666666666664
1083,2025-05-18 13:00:00+00:00,16.400000000000002,35.56666666666667,32.199999999999996,3.973333333333333
1084,2025-05-18 14:00:00+00:00,14.700000000000001,30.8,38.0,2.876666666666667
1085,2025-05-18 15:00:00+00:00,15.0,28.7,43.333333333333336,2.23
1086,2025-05-18 16:00:00+00:00,12.933333333333332,24.433333333333334,49.06666666666666,1.5766666666666669
1087,2025-05-18 17:00:00+00:00,12.266666666666666,20.066666666666666,61.199999999999996,0.9266666666666666
1088,2025-05-18 18:00:00+00:00,10.666666666666666,16.2,69.96666666666667,0.5533333333333333
1089,2025-05-18 19:00:00+00:00,9.866666666666667,14.633333333333333,73.2,0.4466666666666666
1090,2025-05-18 20:00:00+00:00,9.333333333333334,13.700000000000001,75.3,0.38999999999999996
1091,2025-05-18 21:00:00+00:00,9.233333333333333,12.700000000000001,79.66666666666667,0.3
1092,2025-05-18 22:00:00+00:00,9.033333333333333,11.966666666666667,82.5,0.24666666666666667
1093,2025-05-18 23:00:00+00:00,8.700000000000001,11.233333333333334,84.56666666666666,0.20666666666666667
1094,2025-05-19 00:00:00+00:00,8.266666666666667,9.5,92.10000000000001,0.09333333333333334
1095,2025-05-19 01:00:00+00:00,7.566666666666666,8.1,96.63333333333333,0.04
1096,2025-05-19 02:00:00+00:00,6.8999999999999995,7.233333333333333,97.86666666666667,0.023333333333333334
1097,2025-05-19 03:00:00+00:00,6.666666666666667,6.866666666666667,98.83333333333333,0.01
1098,2025-05-19 04:00:00+00:00,8.466666666666667,8.8,97.73333333333333,0.02666666666666667
1099,2025-05-19 05:00:00+00:00,11.133333333333333,14.799999999999999,79.43333333333334,0.37333333333333335
1100,2025-05-19 06:00:00+00:00,13.966666666666667,23.266666666666666,56.0,1.2666666666666666
